Country Name,Country Code,Indicator Name,Indicator Code,Ano,Valor
China,CHN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2003,2.2683180208870315
China,CHN,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2003,0.1905006136317843
India,IND,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2003,67.83142322885762
India,IND,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2003,12.415090107046773
India,IND,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2003,11.185903690171271
India,IND,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2003,2.7318668115057996
India,IND,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2003,1.0543346490749606
Russian Federation,RUS,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2003,18.741305089639603
Russian Federation,RUS,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2003,17.0356808497607
Russian Federation,RUS,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2003,44.48709872168412
Russian Federation,RUS,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2003,16.44289576607082
Russian Federation,RUS,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2003,0.04101372811507468
South Africa,ZAF,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2003,94.10459766138518
South Africa,ZAF,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2003,0.30313775686708644
South Africa,ZAF,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2003,0.0
South Africa,ZAF,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2003,5.475939251366499
South Africa,ZAF,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2003,0.11459558569155191
Brazil,BRA,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2004,2.7311699741646085
Brazil,BRA,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2004,82.7963649784619
Brazil,BRA,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2004,4.9719578890859015
Brazil,BRA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2004,2.9967505736179616
Brazil,BRA,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2004,3.2357473035439135
China,CHN,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2004,78.17369804974082
China,CHN,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2004,16.04464166585735
China,CHN,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2004,0.33855199586839496
China,CHN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2004,2.290399554890352
China,CHN,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2004,0.1786247527798931
India,IND,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2004,67.69168015368624
India,IND,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2004,13.232922655415056
India,IND,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2004,11.195615146982927
India,IND,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2004,2.4870210280544627
India,IND,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2004,1.2495778453225261
Russian Federation,RUS,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2004,17.19272398793425
Russian Federation,RUS,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2004,18.90763034933676
Russian Federation,RUS,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2004,45.42797382528323
Russian Federation,RUS,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2004,15.561482086879844
Russian Federation,RUS,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2004,0.04860711578064426
South Africa,ZAF,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2004,93.94471423234964
South Africa,ZAF,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2004,0.3943053999086872
South Africa,ZAF,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2004,0.0
South Africa,ZAF,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2004,5.547254389241688
South Africa,ZAF,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2004,0.11372597849997924
Brazil,BRA,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2005,2.665290435274531
Brazil,BRA,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2005,83.729372036533
Brazil,BRA,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2005,4.667607863375952
